hour_index,timestamp,hour,P_total,Q_total,P_PV_max
101,2025-07-05 05:00:00,5,6.2912,2.4633,0.0
102,2025-07-05 06:00:00,6,6.7832,2.5298,0.0862
103,2025-07-05 07:00:00,7,6.8888,2.4141,0.5189
104,2025-07-05 08:00:00,8,7.3065,2.4676,1.1836
105,2025-07-05 09:00:00,9,7.2204,2.3092,1.8431
106,2025-07-05 10:00:00,10,7.4052,2.487,2.3203
107,2025-07-05 11:00:00,11,7.2133,2.2483,2.8251
108,2025-07-05 12:00:00,12,6.8124,2.0299,3.2142
109,2025-07-05 13:00:00,13,6.8772,2.01,3.6807
110,2025-07-05 14:00:00,14,6.797,2.3068,3.2822
111,2025-07-05 15:00:00,15,6.845,2.2167,2.7528
112,2025-07-05 16:00:00,16,7.5429,2.9458,2.3683
113,2025-07-05 17:00:00,17,7.9992,3.2504,1.8484
114,2025-07-05 18:00:00,18,8.1785,3.2793,1.0126
115,2025-07-05 19:00:00,19,8.2444,3.532,0.5525
116,2025-07-05 20:00:00,20,7.9277,3.2628,0.0895
117,2025-07-05 21:00:00,21,7.826,3.5526,0.0
118,2025-07-05 22:00:00,22,7.4548,3.0999,0.0
119,2025-07-05 23:00:00,23,7.3621,3.0675,0.0
120,2025-07-06 00:00:00,0,5.6332,1.8534,0.0
121,2025-07-06 01:00:00,1,5.587,1.6974,0.0
122,2025-07-06 02:00:00,2,5.4329,2.0027,0.0
123,2025-07-06 03:00:00,3,5.4271,1.9206,0.0
124,2025-07-06 04:00:00,4,5.7082,1.899,0.0
125,2025-07-06 05:00:00,5,5.698,1.7923,0.0
126,2025-07-06 06:00:00,6,5.9365,1.7498,0.1653
127,2025-07-06 07:00:00,7,6.3123,1.8135,0.9684
128,2025-07-06 08:00:00,8,6.8062,1.8176,1.8993
129,2025-07-06 09:00:00,9,6.4664,1.5317,3.0235
130,2025-07-06 10:00:00,10,6.7158,1.6807,4.2602
131,2025-07-06 11:00:00,11,6.5278,1.6786,5.0664
132,2025-07-06 12:00:00,12,6.0014,1.6293,5.465
133,2025-07-06 13:00:00,13,6.0568,1.6056,5.9428
134,2025-07-06 14:00:00,14,6.3066,1.7228,6.6215
135,2025-07-06 15:00:00,15,6.7255,1.8503,5.6525
136,2025-07-06 16:00:00,16,6.6635,1.9418,4.547
137,2025-07-06 17:00:00,17,7.3283,2.6578,3.037
138,2025-07-06 18:00:00,18,7.1589,2.5294,1.953
139,2025-07-06 19:00:00,19,7.5855,2.9416,0.9024
140,2025-07-06 20:00:00,20,7.2901,2.8478,0.1526
141,2025-07-06 21:00:00,21,7.0048,2.4229,0.0
142,2025-07-06 22:00:00,22,6.7741,2.5334,0.0
143,2025-07-06 23:00:00,23,6.496,2.3122,0.0
144,2025-07-07 00:00:00,0,5.8368,2.0032,0.0
145,2025-07-07 01:00:00,1,5.5645,2.0465,0.0
146,2025-07-07 02:00:00,2,5.7524,2.2509,0.0
147,2025-07-07 03:00:00,3,5.858,2.0378,0.0
148,2025-07-07 04:00:00,4,5.584,2.0015,0.0
149,2025-07-07 05:00:00,5,5.9364,2.0206,0.0
150,2025-07-07 06:00:00,6,6.3831,1.9285,0.0838
151,2025-07-07 07:00:00,7,6.7433,2.12,0.48
152,2025-07-07 08:00:00,8,6.8274,1.9374,1.0733
153,2025-07-07 09:00:00,9,6.6783,1.8882,1.6142
154,2025-07-07 10:00:00,10,6.8273,1.8684,2.3485
155,2025-07-07 11:00:00,11,6.5747,1.6982,3.0266
156,2025-07-07 12:00:00,12,6.579,1.9327,3.2439
157,2025-07-07 13:00:00,13,6.3031,1.4957,3.6198
158,2025-07-07 14:00:00,14,6.3441,1.6778,3.047
159,2025-07-07 15:00:00,15,6.5712,1.8953,3.1211
160,2025-07-07 16:00:00,16,7.0553,2.1454,2.4605
161,2025-07-07 17:00:00,17,7.1721,2.3255,1.7785
162,2025-07-07 18:00:00,18,7.6415,2.7596,1.1403
163,2025-07-07 19:00:00,19,7.6362,3.0831,0.5383
164,2025-07-07 20:00:00,20,7.701,3.0735,0.0851
165,2025-07-07 21:00:00,21,7.2338,2.9401,0.0
166,2025-07-07 22:00:00,22,6.8165,2.7206,0.0
167,2025-07-07 23:00:00,23,6.8537,2.5552,0.0
168,2025-07-08 00:00:00,0,5.7134,1.9996,0.0
169,2025-07-08 01:00:00,1,5.5876,2.0296,0.0
170,2025-07-08 02:00:00,2,5.46,2.0183,0.0
171,2025-07-08 03:00:00,3,5.5913,2.0249,0.0
172,2025-07-08 04:00:00,4,5.6649,2.0519,0.0
173,2025-07-08 05:00:00,5,5.9238,2.1105,0.0
174,2025-07-08 06:00:00,6,5.969,1.9548,0.0949
175,2025-07-08 07:00:00,7,6.1297,1.9677,0.5463
176,2025-07-08 08:00:00,8,6.619,1.9383,1.1033
177,2025-07-08 09:00:00,9,6.8112,1.9864,1.816
178,2025-07-08 10:00:00,10,6.4177,1.7521,2.3352
179,2025-07-08 11:00:00,11,6.6316,1.7976,2.9219
180,2025-07-08 12:00:00,12,6.2672,1.8644,3.4523
181,2025-07-08 13:00:00,13,6.0099,1.6699,3.4732
182,2025-07-08 14:00:00,14,6.3031,2.0295,3.1484
183,2025-07-08 15:00:00,15,6.6202,2.056,2.7695
184,2025-07-08 16:00:00,16,6.6946,2.0774,2.46
185,2025-07-08 17:00:00,17,6.9146,2.532,1.6374
186,2025-07-08 18:00:00,18,7.3763,2.8882,0.9786
187,2025-07-08 19:00:00,19,7.5039,3.1262,0.4721
188,2025-07-08 20:00:00,20,7.5078,3.0493,0.092
189,2025-07-08 21:00:00,21,7.1414,2.8078,0.0
190,2025-07-08 22:00:00,22,6.4849,2.4418,0.0
191,2025-07-08 23:00:00,23,6.2579,2.3409,0.0
192,2025-07-09 00:00:00,0,4.8857,1.6982,0.0
193,2025-07-09 01:00:00,1,5.1138,1.9141,0.0
194,2025-07-09 02:00:00,2,5.0033,1.8123,0.0
195,2025-07-09 03:00:00,3,4.7562,1.6684,0.0
196,2025-07-09 04:00:00,4,4.9344,1.7357,0.0
197,2025-07-09 05:00:00,5,4.7772,1.656,0.0
198,2025-07-09 06:00:00,6,5.2657,1.6692,0.0876
199,2025-07-09 07:00:00,7,5.4152,1.5264,0.5252
200,2025-07-09 08:00:00,8,5.8211,1.7007,1.1715
201,2025-07-09 09:00:00,9,5.8869,1.5994,1.8338
202,2025-07-09 10:00:00,10,6.0076,1.566,2.3115
203,2025-07-09 11:00:00,11,5.6192,1.4578,2.9448
204,2025-07-09 12:00:00,12,5.6667,1.3571,3.1981
205,2025-07-09 13:00:00,13,5.5138,1.477,3.0801
206,2025-07-09 14:00:00,14,5.3603,1.4324,3.3468
207,2025-07-09 15:00:00,15,5.7076,1.6439,3.2435
208,2025-07-09 16:00:00,16,6.0692,1.7279,2.4222
209,2025-07-09 17:00:00,17,6.1144,2.1608,1.8261
210,2025-07-09 18:00:00,18,6.6433,2.517,1.0824
211,2025-07-09 19:00:00,19,6.6663,2.6558,0.537
212,2025-07-09 20:00:00,20,6.8379,2.6303,0.0898
213,2025-07-09 21:00:00,21,6.5637,2.6679,0.0
214,2025-07-09 22:00:00,22,5.8584,2.3414,0.0
215,2025-07-09 23:00:00,23,5.5117,2.0561,0.0
216,2025-07-10 00:00:00,0,5.08,1.6959,0.0
217,2025-07-10 01:00:00,1,5.0779,1.7872,0.0
218,2025-07-10 02:00:00,2,4.9481,1.742,0.0
219,2025-07-10 03:00:00,3,4.9681,1.7218,0.0
220,2025-07-10 04:00:00,4,5.2203,1.5554,0.0
221,2025-07-10 05:00:00,5,5.0397,1.759,0.0
222,2025-07-10 06:00:00,6,5.4537,1.8073,0.1085
223,2025-07-10 07:00:00,7,5.8054,1.7962,0.6942
224,2025-07-10 08:00:00,8,5.898,1.6711,1.4438
225,2025-07-10 09:00:00,9,6.1008,1.7337,2.4531
226,2025-07-10 10:00:00,10,6.0917,1.752,3.223
227,2025-07-10 11:00:00,11,5.6827,1.4136,3.7178
228,2025-07-10 12:00:00,12,5.5717,1.4823,4.1866
229,2025-07-10 13:00:00,13,5.6637,1.4571,4.1744
230,2025-07-10 14:00:00,14,5.4573,1.4492,4.1317
231,2025-07-10 15:00:00,15,5.967,1.7247,3.7247
232,2025-07-10 16:00:00,16,6.034,1.9381,3.1353
233,2025-07-10 17:00:00,17,6.4886,2.0871,2.4486
234,2025-07-10 18:00:00,18,6.5897,2.3328,1.4403
235,2025-07-10 19:00:00,19,6.8171,2.6426,0.6888
236,2025-07-10 20:00:00,20,6.7581,2.6218,0.112
237,2025-07-10 21:00:00,21,6.3186,2.3687,0.0
238,2025-07-10 22:00:00,22,5.983,2.2212,0.0
239,2025-07-10 23:00:00,23,5.752,2.0654,0.0
240,2025-07-11 00:00:00,0,6.0134,2.1703,0.0
241,2025-07-11 01:00:00,1,5.5977,2.0272,0.0
242,2025-07-11 02:00:00,2,5.796,2.1404,0.0
243,2025-07-11 03:00:00,3,5.766,1.9535,0.0
244,2025-07-11 04:00:00,4,5.6884,2.1125,0.0
245,2025-07-11 05:00:00,5,5.9362,2.1239,0.0
246,2025-07-11 06:00:00,6,6.3648,2.1945,0.0969
247,2025-07-11 07:00:00,7,6.356,2.0724,0.5358
248,2025-07-11 08:00:00,8,6.5781,2.0485,1.0904
249,2025-07-11 09:00:00,9,6.9094,2.0941,1.8315
250,2025-07-11 10:00:00,10,6.7632,1.9111,2.3547
251,2025-07-11 11:00:00,11,6.8446,1.947,2.7079
252,2025-07-11 12:00:00,12,6.572,1.83,3.4308
253,2025-07-11 13:00:00,13,5.9731,1.5097,3.3458
254,2025-07-11 14:00:00,14,6.4395,1.8411,3.3109
255,2025-07-11 15:00:00,15,6.5168,1.9328,2.8355
256,2025-07-11 16:00:00,16,7.059,2.3327,2.294
257,2025-07-11 17:00:00,17,7.1788,2.5469,1.7255
258,2025-07-11 18:00:00,18,7.566,2.7867,1.1281
259,2025-07-11 19:00:00,19,7.7967,3.0109,0.5142
260,2025-07-11 20:00:00,20,7.6014,3.0842,0.0931
261,2025-07-11 21:00:00,21,7.4282,2.9404,0.0
262,2025-07-11 22:00:00,22,6.8393,2.638,0.0
263,2025-07-11 23:00:00,23,6.4231,2.3908,0.0
264,2025-07-12 00:00:00,0,5.1406,1.8324,0.0
265,2025-07-12 01:00:00,1,5.1244,1.8634,0.0
266,2025-07-12 02:00:00,2,5.0705,1.8734,0.0
267,2025-07-12 03:00:00,3,5.0491,1.8146,0.0
268,2025-07-12 04:00:00,4,4.8638,1.7484,0.0
269,2025-07-12 05:00:00,5,5.2171,1.7821,0.0
270,2025-07-12 06:00:00,6,5.4686,1.8486,0.0966
271,2025-07-12 07:00:00,7,5.9702,1.9352,0.4923
272,2025-07-12 08:00:00,8,6.2778,1.8648,1.0585
273,2025-07-12 09:00:00,9,6.2075,1.7301,1.7713
274,2025-07-12 10:00:00,10,5.863,1.8215,2.3959
275,2025-07-12 11:00:00,11,5.9969,1.5692,2.777
276,2025-07-12 12:00:00,12,5.6251,1.4728,3.2004
277,2025-07-12 13:00:00,13,5.6749,1.6439,3.3006
278,2025-07-12 14:00:00,14,5.5769,1.6269,3.2118
279,2025-07-12 15:00:00,15,6.0521,1.7845,2.9057
280,2025-07-12 16:00:00,16,6.2612,1.9658,2.4897
281,2025-07-12 17:00:00,17,6.4478,2.3525,1.5661
282,2025-07-12 18:00:00,18,6.9775,2.62,1.0255
283,2025-07-12 19:00:00,19,6.5733,2.4721,0.5546
284,2025-07-12 20:00:00,20,6.6335,2.5003,0.091
285,2025-07-12 21:00:00,21,6.3117,2.4269,0.0
286,2025-07-12 22:00:00,22,6.1972,2.3166,0.0
287,2025-07-12 23:00:00,23,5.8472,2.1083,0.0
288,2025-07-13 00:00:00,0,4.5553,1.5743,0.0
289,2025-07-13 01:00:00,1,4.7368,1.7103,0.0
290,2025-07-13 02:00:00,2,4.8046,1.8511,0.0
291,2025-07-13 03:00:00,3,4.8628,1.8654,0.0
292,2025-07-13 04:00:00,4,4.5092,1.7091,0.0
293,2025-07-13 05:00:00,5,4.732,1.6745,0.0
294,2025-07-13 06:00:00,6,5.3473,1.8249,0.091
295,2025-07-13 07:00:00,7,5.3857,1.8101,0.5232
296,2025-07-13 08:00:00,8,5.5909,1.7616,1.1453
297,2025-07-13 09:00:00,9,5.9051,1.9935,1.741
298,2025-07-13 10:00:00,10,5.8055,1.7794,2.3241
299,2025-07-13 11:00:00,11,5.3072,1.4172,3.0914
300,2025-07-13 12:00:00,12,5.3492,1.6458,2.7568
301,2025-07-13 13:00:00,13,5.2035,1.5025,3.2754
302,2025-07-13 14:00:00,14,5.392,1.6158,3.347
303,2025-07-13 15:00:00,15,5.4273,1.7154,2.7417
304,2025-07-13 16:00:00,16,5.8643,1.974,2.5722
305,2025-07-13 17:00:00,17,5.7121,2.2344,1.7085
306,2025-07-13 18:00:00,18,6.36,2.4688,1.1414
307,2025-07-13 19:00:00,19,6.7042,2.7167,0.4886
308,2025-07-13 20:00:00,20,6.4701,2.708,0.0903
309,2025-07-13 21:00:00,21,6.3637,2.5904,0.0
310,2025-07-13 22:00:00,22,5.8703,2.3735,0.0
311,2025-07-13 23:00:00,23,5.4709,2.3008,0.0
312,2025-07-14 00:00:00,0,5.5636,2.0209,0.0
313,2025-07-14 01:00:00,1,5.5612,2.1462,0.0
314,2025-07-14 02:00:00,2,5.7882,2.1732,0.0
315,2025-07-14 03:00:00,3,5.5715,2.1173,0.0
316,2025-07-14 04:00:00,4,5.7025,2.0013,0.0
317,2025-07-14 05:00:00,5,5.8913,1.9636,0.0
318,2025-07-14 06:00:00,6,6.0118,1.9474,0.125
319,2025-07-14 07:00:00,7,6.5608,2.0752,0.674
320,2025-07-14 08:00:00,8,6.3356,1.7289,1.4375
321,2025-07-14 09:00:00,9,6.9091,1.9801,2.3613
322,2025-07-14 10:00:00,10,6.7553,1.9057,3.044
323,2025-07-14 11:00:00,11,6.5485,1.5561,3.9755
324,2025-07-14 12:00:00,12,6.2498,1.6166,4.4126
325,2025-07-14 13:00:00,13,5.9276,1.5496,4.4539
326,2025-07-14 14:00:00,14,6.4098,1.6882,4.7912
327,2025-07-14 15:00:00,15,6.4976,2.0061,3.8439
328,2025-07-14 16:00:00,16,6.9168,2.2553,3.1145
329,2025-07-14 17:00:00,17,7.2071,2.5452,2.3943
330,2025-07-14 18:00:00,18,7.4703,2.7231,1.4911
331,2025-07-14 19:00:00,19,7.9481,2.9834,0.644
332,2025-07-14 20:00:00,20,7.4191,2.9831,0.1268
333,2025-07-14 21:00:00,21,7.1631,2.8317,0.0
334,2025-07-14 22:00:00,22,6.7759,2.7581,0.0
335,2025-07-14 23:00:00,23,6.4373,2.5305,0.0
336,2025-07-15 00:00:00,0,5.5139,1.7101,0.0
337,2025-07-15 01:00:00,1,5.4304,1.8713,0.0
338,2025-07-15 02:00:00,2,5.3006,1.8983,0.0
339,2025-07-15 03:00:00,3,5.4762,1.8947,0.0
340,2025-07-15 04:00:00,4,5.4317,1.8599,0.0
341,2025-07-15 05:00:00,5,5.5224,1.8634,0.0
342,2025-07-15 06:00:00,6,5.8739,1.8255,0.1009
343,2025-07-15 07:00:00,7,6.3786,1.9194,0.5982
344,2025-07-15 08:00:00,8,6.5712,1.8519,1.2601
345,2025-07-15 09:00:00,9,6.7822,1.7682,2.1269
346,2025-07-15 10:00:00,10,6.6396,1.6202,2.9049
347,2025-07-15 11:00:00,11,6.3825,1.4303,3.5056
348,2025-07-15 12:00:00,12,6.2192,1.4182,3.6651
349,2025-07-15 13:00:00,13,5.8034,1.2795,3.6701
350,2025-07-15 14:00:00,14,6.2543,1.7568,3.776
351,2025-07-15 15:00:00,15,6.3619,1.8391,3.5234
352,2025-07-15 16:00:00,16,6.8375,2.1242,2.8738
353,2025-07-15 17:00:00,17,6.9192,2.1907,1.9711
354,2025-07-15 18:00:00,18,7.2375,2.6419,1.2408
355,2025-07-15 19:00:00,19,7.5334,2.6455,0.6017
356,2025-07-15 20:00:00,20,7.1773,2.7186,0.0994
357,2025-07-15 21:00:00,21,6.7973,2.6472,0.0
358,2025-07-15 22:00:00,22,6.4943,2.4365,0.0
359,2025-07-15 23:00:00,23,6.3774,2.3625,0.0
360,2025-07-16 00:00:00,0,6.317,2.1443,0.0
361,2025-07-16 01:00:00,1,6.056,2.2012,0.0
362,2025-07-16 02:00:00,2,5.9427,2.0133,0.0
363,2025-07-16 03:00:00,3,5.8757,2.0058,0.0
364,2025-07-16 04:00:00,4,5.8043,2.0723,0.0
365,2025-07-16 05:00:00,5,6.0836,1.9759,0.0
366,2025-07-16 06:00:00,6,6.6057,2.1853,0.0982
367,2025-07-16 07:00:00,7,6.822,2.1508,0.5715
368,2025-07-16 08:00:00,8,7.2258,2.1167,1.1971
369,2025-07-16 09:00:00,9,7.314,1.8572,2.058
370,2025-07-16 10:00:00,10,6.9742,1.6546,2.8305
371,2025-07-16 11:00:00,11,7.1054,1.8319,3.411
372,2025-07-16 12:00:00,12,6.8498,1.8375,3.763
373,2025-07-16 13:00:00,13,6.4018,1.4314,3.6329
374,2025-07-16 14:00:00,14,6.4162,1.7541,4.1034
375,2025-07-16 15:00:00,15,6.9194,1.9683,3.667
376,2025-07-16 16:00:00,16,7.2381,2.4177,2.7981
377,2025-07-16 17:00:00,17,7.6666,2.717,1.9027
378,2025-07-16 18:00:00,18,7.9723,2.7815,1.3072
379,2025-07-16 19:00:00,19,8.1492,3.3167,0.6127
380,2025-07-16 20:00:00,20,7.865,3.0965,0.1115
381,2025-07-16 21:00:00,21,7.4171,2.9239,0.0
382,2025-07-16 22:00:00,22,7.5279,3.1478,0.0
383,2025-07-16 23:00:00,23,6.8194,2.3435,0.0
384,2025-07-17 00:00:00,0,6.2612,2.1189,0.0
385,2025-07-17 01:00:00,1,6.1036,2.0249,0.0
386,2025-07-17 02:00:00,2,5.8403,1.8651,0.0
387,2025-07-17 03:00:00,3,6.0868,2.0195,0.0
388,2025-07-17 04:00:00,4,6.0236,2.0881,0.0
389,2025-07-17 05:00:00,5,6.4151,1.9327,0.0
390,2025-07-17 06:00:00,6,6.5514,1.8466,0.0928
391,2025-07-17 07:00:00,7,6.9619,1.8702,0.5137
392,2025-07-17 08:00:00,8,7.3771,2.0718,1.2386
393,2025-07-17 09:00:00,9,7.1757,1.8106,1.7144
394,2025-07-17 10:00:00,10,7.3917,1.955,2.5936
395,2025-07-17 11:00:00,11,7.0221,1.6478,2.7609
396,2025-07-17 12:00:00,12,6.8112,1.6655,3.3974
397,2025-07-17 13:00:00,13,6.6833,1.721,3.3728
398,2025-07-17 14:00:00,14,6.8743,1.5116,3.3694
399,2025-07-17 15:00:00,15,7.0597,1.935,2.8528
400,2025-07-17 16:00:00,16,7.608,2.0477,2.2089
401,2025-07-17 17:00:00,17,7.8208,2.5671,1.5734
402,2025-07-17 18:00:00,18,8.0699,2.8807,1.0957
403,2025-07-17 19:00:00,19,8.3788,3.1195,0.5172
404,2025-07-17 20:00:00,20,8.2636,3.0652,0.0904
405,2025-07-17 21:00:00,21,7.9539,2.9332,0.0
406,2025-07-17 22:00:00,22,7.5673,2.6418,0.0
407,2025-07-17 23:00:00,23,6.9336,2.3071,0.0
408,2025-07-18 00:00:00,0,6.305,2.0004,0.0
409,2025-07-18 01:00:00,1,6.047,2.0507,0.0
410,2025-07-18 02:00:00,2,6.0836,2.1314,0.0
411,2025-07-18 03:00:00,3,5.9342,1.9809,0.0
412,2025-07-18 04:00:00,4,5.8331,1.962,0.0
413,2025-07-18 05:00:00,5,6.3822,2.0158,0.0
414,2025-07-18 06:00:00,6,6.6166,2.095,0.2159
415,2025-07-18 07:00:00,7,6.861,2.0186,1.2791
416,2025-07-18 08:00:00,8,7.1635,2.0901,2.8128
417,2025-07-18 09:00:00,9,7.555,1.6338,3.8848
418,2025-07-18 10:00:00,10,7.4379,1.513,5.8022
419,2025-07-18 11:00:00,11,6.8714,1.5785,6.5753
420,2025-07-18 12:00:00,12,6.9024,1.6876,8.6585
421,2025-07-18 13:00:00,13,6.7503,1.7827,8.4621
422,2025-07-18 14:00:00,14,6.8361,1.7626,7.9994
423,2025-07-18 15:00:00,15,7.048,2.0527,6.7883
424,2025-07-18 16:00:00,16,7.4348,2.2324,5.7546
425,2025-07-18 17:00:00,17,7.833,2.697,4.3799
426,2025-07-18 18:00:00,18,8.3246,2.9036,2.6336
427,2025-07-18 19:00:00,19,8.1167,3.1401,1.126
428,2025-07-18 20:00:00,20,8.1271,3.1741,0.2215
429,2025-07-18 21:00:00,21,7.9014,3.1917,0.0
430,2025-07-18 22:00:00,22,7.4358,2.5947,0.0
431,2025-07-18 23:00:00,23,6.9027,2.6104,0.0
432,2025-07-19 00:00:00,0,6.0311,2.2611,0.0
433,2025-07-19 01:00:00,1,5.9798,2.2529,0.0
434,2025-07-19 02:00:00,2,5.8417,2.0517,0.0
435,2025-07-19 03:00:00,3,5.789,2.1559,0.0
436,2025-07-19 04:00:00,4,6.0006,2.1605,0.0
437,2025-07-19 05:00:00,5,6.3022,2.0877,0.0
438,2025-07-19 06:00:00,6,6.3731,2.1423,0.0929
439,2025-07-19 07:00:00,7,6.7262,2.1043,0.4808
440,2025-07-19 08:00:00,8,7.1689,2.0789,1.0263
441,2025-07-19 09:00:00,9,7.1141,1.9468,1.731
442,2025-07-19 10:00:00,10,7.0265,1.8442,2.324
443,2025-07-19 11:00:00,11,6.8689,1.7467,2.7248
444,2025-07-19 12:00:00,12,6.5805,1.6865,3.1512
